video_id,title,description,url,channel_title,published_at,transcript,clips_extracted,clips_published,processing_status,processing_date,error_message
w_bxr9tSM10,Linda Greenwall Practice Video,Linda Greenwall's Welcome to the practice video.,https://www.youtube.com/watch?v=w_bxr9tSM10,Linda Greenwall,2011-12-08T15:23:02Z,good morning independence dental practices i came to the practice because my teeth were they were hurting and they weren't in good shape and they didn't look good and i needed a lot of help i'm really really happy with my smile um and um and the presentation of my teeth and um it's just you know um say 180 degrees or 360. i can't remember which one they're much better um and um and beautiful it's a beautiful smile now so melinda it's now been five years since you've whitened your teeth how do yo...,0,0,failed,2025-07-07T04:23:29.428466,Failed to download video
w_bxr9tSM10,Linda Greenwall Practice Video,Linda Greenwall's Welcome to the practice video.,https://www.youtube.com/watch?v=w_bxr9tSM10,Linda Greenwall,2011-12-08T15:23:02Z,good morning independence dental practices i came to the practice because my teeth were they were hurting and they weren't in good shape and they didn't look good and i needed a lot of help i'm really really happy with my smile um and um and the presentation of my teeth and um it's just you know um say 180 degrees or 360. i can't remember which one they're much better um and um and beautiful it's a beautiful smile now so melinda it's now been five years since you've whitened your teeth how do yo...,0,0,failed,2025-07-07T04:23:29.428466,Failed to download video
3RoWlUhSGnQ,Welcome to Dr. Linda Greenwall Specialist Dental Practice,"Welcome to our long-established, multi-specialist practice in Hampstead! We are a friendly team of specialists covering all aspects ...",https://www.youtube.com/watch?v=3RoWlUhSGnQ,Linda Greenwall,2019-10-24T11:39:47Z,[Music] hi I'm Linda Greenlaw I started the practice 26 years ago started from scratch and over the years we've built up a practice and we have a wonderful friendly team a key thing is our communication with our patients I think about it as though I was the patient at what I would like from a dental practice we see a large variety of patients from the very young to the elderly our dental practice is quite unique in that we a team of dental specialists so we have a root canal specialist that's dr...,0,0,no_clips,2025-07-07T04:23:39.065608,
1EGl8RMdmfE,icon video,Here is a live Demo of White spot eradication with DMG ICON resin Infiltration.,https://www.youtube.com/watch?v=1EGl8RMdmfE,Linda Greenwall,2018-03-27T15:44:28Z,...,0,0,failed,2025-07-07T04:23:56.291568,No transcript available
1EGl8RMdmfE,icon video,Here is a live Demo of White spot eradication with DMG ICON resin Infiltration.,https://www.youtube.com/watch?v=1EGl8RMdmfE,Linda Greenwall,2018-03-27T15:44:28Z,...,0,0,failed,2025-07-07T04:23:56.291568,No transcript available
1uXjZ6IJU-w,Dentist Hampstead - Linda Greenwall,Linda Greenwall is an award winning private dentist in Hampstead London. She runs a multi-disciplined practice which has been ...,https://www.youtube.com/watch?v=1uXjZ6IJU-w,Ally Woodcock,2016-01-13T13:35:14Z,...,0,0,failed,2025-07-07T04:26:33.650460,No transcript available
1uXjZ6IJU-w,Dentist Hampstead - Linda Greenwall,Linda Greenwall is an award winning private dentist in Hampstead London. She runs a multi-disciplined practice which has been ...,https://www.youtube.com/watch?v=1uXjZ6IJU-w,Ally Woodcock,2016-01-13T13:35:14Z,...,0,0,failed,2025-07-07T04:26:33.650460,No transcript available
7qrKAELA4_g,Therapeutic Aesthetics &amp; Whitening For All Ages - Dental Webinar,This webinar was broadcast on September 16th 2014 and featured renowned speaker Dr Linda Greenwall discussing aesthetic ...,https://www.youtube.com/watch?v=7qrKAELA4_g,Healthcare Learning,2014-10-07T15:21:12Z,good morning everybody and welcome we are welcoming you to discuss therapeutic aesthetics and why i think for all ages um we are going to focus on some really interesting new stuff and i also want to talk about um whitening for children with the changes in the legislation because there's some new plans and some new guidance that have been issued by the pediatric the british pediatric society and also dental protection and the general dental council so i would like to talk about when it's appropr...,5,0,completed,2025-07-07T04:26:37.859175,
7qrKAELA4_g,Therapeutic Aesthetics &amp; Whitening For All Ages - Dental Webinar,This webinar was broadcast on September 16th 2014 and featured renowned speaker Dr Linda Greenwall discussing aesthetic ...,https://www.youtube.com/watch?v=7qrKAELA4_g,Healthcare Learning,2014-10-07T15:21:12Z,good morning everybody and welcome we are welcoming you to discuss therapeutic aesthetics and why i think for all ages um we are going to focus on some really interesting new stuff and i also want to talk about um whitening for children with the changes in the legislation because there's some new plans and some new guidance that have been issued by the pediatric the british pediatric society and also dental protection and the general dental council so i would like to talk about when it's appropr...,1,0,completed,2025-07-07T04:46:10.077075,
-AjokC2IQaA,Success strategies for the aesthetic dental practice during COVID19 era,The authors of Success strategies for the aesthetic dental practice - Dr Cathy and Linda were discussing their success strategies ...,https://www.youtube.com/watch?v=-AjokC2IQaA,Linda Greenwall,2020-05-19T23:04:49Z,- do not Oh people are still messaging to join Diane so I'm going to I'm just messaging them to you okay okay okay and Terry Beshear is coming in and yeah just as we are just for them all to you and we are getting you've recorded and we are going to introduce Kathy now donate this right right so I'd like to welcome everybody today to our webinar we're very excited that you are joining us and we wanted to have time with Kathy to be able to talk to her about all the issues that dentists are facing...,0,0,completed,2025-07-07T04:48:18.582957,No suitable clips found
